,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross_Collection,Certification,votes
0,The Dark Knight, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,Action, Crime, Drama,534.86,PG-13 ,"2,714,822"
1,The Lord of the Rings: The Return of the King, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom,Action, Adventure, Drama,377.85,PG-13 ,"1,885,048"
2,Inception, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe,Action, Adventure, Sci-Fi,292.58,PG-13 ,"2,409,922"
3,The Lord of the Rings: The Fellowship of the Ring, Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean,Action, Adventure, Drama,315.54,PG-13 ,"1,913,811"
4,The Lord of the Rings: The Two Towers, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom,Action, Adventure, Drama,342.55,PG-13 ,"1,701,534"
5,The Matrix, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,Action, Sci-Fi,Nan,171.48,R ,"1,955,482"
6,Star Wars: Episode V - The Empire Strikes Back, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,Action, Adventure, Fantasy,290.48,PG ,"1,319,614"
7,Soorarai Pottru, Suriya, Paresh Rawal, Aparna Balamurali, Urvashi,Action, Drama,Nan,Nan,TV-MA ,"119,393"
8,Star Wars: Episode IV - A New Hope, Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,Action, Adventure, Fantasy,322.74,PG ,"1,392,136"
9,Terminator 2: Judgment Day, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,Action, Sci-Fi,Nan,204.84,R ,"1,121,854"
10,Seven Samurai, Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,Action, Drama,Nan,0.27,Not Rated ,"352,495"
11,Harakiri, Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba,Action, Drama, Mystery,Nan,Not Rated ,"60,827"
12,Sita Ramam, Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,Action, Drama, Mystery,Nan,U ,"59,608"
13,Léon: The Professional, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,Action, Crime, Drama,19.50,R ,"1,187,952"
14,Gladiator, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed,Action, Adventure, Drama,187.71,R ,"1,534,484"
15,Avengers: Endgame, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Action, Adventure, Drama,858.37,PG-13 ,"1,177,505"
16,Spider-Man: Into the Spider-Verse, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali,Animation, Action, Adventure,190.24,PG ,"562,301"
17,Indiana Jones and the Raiders of the Lost Ark, Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies,Action, Adventure,Nan,248.16,PG ,"985,174"
18,Avengers: Infinity War, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Action, Adventure, Sci-Fi,678.82,PG-13 ,"1,121,032"
19,Oldboy, Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok,Action, Drama, Mystery,0.71,R ,"595,512"
20,The Dark Knight Rises, Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman,Action, Drama, Thriller,448.14,PG-13 ,"1,739,683"
21,Aliens, Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser,Action, Adventure, Sci-Fi,85.16,R ,"731,852"
22,Kaithi, Karthi, Narain, Arjun Das, George Maryan,Action, Adventure, Crime,Nan,Not Rated ,"35,982"
23,Asuran, Dhanush, Manju Warrier, Prakash Raj, Pasupathy,Action, Drama,Nan,Nan,Not Rated ,"31,142"
24,Guardians of the Galaxy Vol, Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff,Action, Adventure, Comedy,Nan,PG-13 ,"129,836"
